_id,ticker,name,currency,exchange,industry,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,total_grade,total_level,cik,Formatted Date,ticker/date,merged_data
66207532148fecfa8a159f6d,MYFW,First Western Financial Inc,USD,NASDAQ NMS - GLOBAL MARKET,Banking,https://static.finnhub.io/logo/d63d720da2c1ce27b4068a766f28f8af83b975b495e048f59d59b3f6e363a5e4.png,https://myfw.gcs-web.com/,BB,Medium,BB,Medium,B,Medium,351,300,235,886,BB,Medium,1327607,10/06/2022,MYFW10/06/2022,[]
66207532148fecfa8a159f6e,MXL,Maxlinear Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/698085653aaaf77ffaf721bb1fc5a549ca4e9fc91bbb6b823d6e4a689c939334.png,https://www.maxlinear.com/,A,High,BB,Medium,BB,Medium,535,325,335,1195,BBB,High,1288469,04/18/2022,MXL04/18/2022,[]
66207532148fecfa8a159f6f,MYMD,MyMD Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,https://static.finnhub.io/logo/5db2dee6-80cf-11ea-a23b-00000000092a.png,https://ir.mymd.com/,B,Medium,B,Medium,B,Medium,205,257,230,692,B,Medium,1321834,11/06/2022,MYMD11/06/2022,[]
66207532148fecfa8a159f70,MYPS,Playstudios Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,https://static.finnhub.io/logo/5295b962ca5b082296591d3bf503c720c413df08af470dca3bde1a037ec9f783.png,https://aciesacq.com/,B,Medium,B,Medium,B,Medium,205,202,200,607,B,Medium,1823878,11/06/2022,MYPS11/06/2022,[]
66207532148fecfa8a159f71,MTTR,Matterport Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static4.finnhub.io/file/publicdatany2/stock_logo/MTTR_5077893451.png,https://matterport.com/,BB,Medium,BB,Medium,B,Medium,346,325,260,931,BBB,High,1819394,11/06/2022,MTTR11/06/2022,[]
66207532148fecfa8a159f72,MTSI,MACOM Technology Solutions Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/d6dcdae6-80cb-11ea-b59b-00000000092a.png,https://www.macom.com/,BB,Medium,BB,Medium,B,Medium,377,309,255,941,BBB,High,1493594,04/18/2022,MTSI04/18/2022,[]
66207532148fecfa8a159f73,CLRO,Clearone Inc,USD,NASDAQ NMS - GLOBAL MARKET,Communications,https://static.finnhub.io/logo/2eb1181c-80e0-11ea-866e-00000000092a.png,http://www.clearone.com/,BB,Medium,B,Medium,B,Medium,370,228,210,808,BB,Medium,840715,04/16/2022,CLRO04/16/2022,[]
66207532148fecfa8a159f74,CLSN,Celsion Corp,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/62e5ff86-80fc-11ea-974e-00000000092a.png,http://celsion.com/,B,Medium,B,Medium,BB,Medium,255,214,300,769,BB,Medium,749647,04/16/2022,CLSN04/16/2022,[]
66207532148fecfa8a159f75,GURE,Gulf Resources Inc,USD,NASDAQ NMS - GLOBAL MARKET,Chemicals,https://static.finnhub.io/logo/f43b6b8a-828d-11ea-be9e-00000000092a.png,http://www.gulfresourcesinc.com/,BBB,High,B,Medium,BB,Medium,408,206,300,914,BBB,High,885462,04/17/2022,GURE04/17/2022,[]
66207532148fecfa8a159f76,GYRO,Gyrodyne LLC,USD,NASDAQ NMS - GLOBAL MARKET,Real Estate,,http://www.gyrodyne.com/,B,Medium,B,Medium,B,Medium,240,206,240,686,B,Medium,1589061,04/17/2022,GYRO04/17/2022,[]
