ticker,name,currency,exchange,industry,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,total_grade,total_level,cik,Formatted Date,ticker/date,_id,Adj Close,Close,High,Low,Open,Volume
MDLZ,Mondelez International Inc,USD,NASDAQ NMS - GLOBAL MARKET,Food Products,https://static.finnhub.io/logo/10b5dc9a-80ec-11ea-897a-00000000092a.png,https://www.mondelezinternational.com/,A,High,BB,Medium,BB,Medium,520,307,300,1127,BBB,High,1103982,04/18/2022,MDLZ04/18/2022,662183b2f6fcf517c920c998,60.65455627441406,63.56999969482422,64.0199966430664,63.25,63.619998931884766,5777600.0
META,Meta Platforms Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/FB.png,https://www.facebook.com,B,Medium,B,Medium,B,Medium,205,232,215,652,B,Medium,1326801,04/22/2022,META04/22/2022,662183b2f6fcf517c920bdd7,183.9148712158203,184.1100006103516,192.72000122070312,183.2700042724609,190.3699951171875,36426800.0
MKTX,Marketaxess Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static.finnhub.io/logo/4a309d80-80e1-11ea-8514-00000000092a.png,https://www.marketaxess.com/,B,Medium,B,Medium,B,Medium,230,213,210,653,B,Medium,1278021,04/18/2022,MKTX04/18/2022,662183b2f6fcf517c920b20f,251.56500244140625,257.1199951171875,265.42999267578125,256.260009765625,264.2099914550781,438100.0
MNST,Monster Beverage Corp,USD,NASDAQ NMS - GLOBAL MARKET,Beverages,https://static.finnhub.io/logo/18126d0c-80e0-11ea-a414-00000000092a.png,http://monsterbevcorp.com/,A,High,BB,Medium,BB,Medium,515,344,300,1159,BBB,High,865752,04/18/2022,MNST04/18/2022,662183b2f6fcf517c920cb8e,41.220001220703125,41.220001220703125,41.415000915527344,40.8650016784668,41.02999877929688,4421000.0
MRNA,Moderna Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/a024deee-80da-11ea-9046-00000000092a.png,https://www.modernatx.com/,A,High,BB,Medium,BB,Medium,500,300,300,1100,BBB,High,1682852,04/18/2022,MRNA04/18/2022,662183b2f6fcf517c920c5a9,154.75,154.75,165.88999938964844,154.27000427246094,165.0,4826000.0
MTCH,Match Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/4295908221.png,https://www.mtch.com/,B,Medium,BB,Medium,BB,Medium,245,389,311,945,BBB,High,891103,04/18/2022,MTCH04/18/2022,662183b2f6fcf517c920b7f2,90.47000122070312,90.47000122070312,91.6999969482422,89.37000274658203,91.3000030517578,2023000.0
MPWR,Monolithic Power Systems Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/3ec1921c-80e1-11ea-b9d8-00000000092a.png,https://www.monolithicpower.com/,BB,Medium,B,Medium,B,Medium,330,287,235,852,BB,Medium,1280452,04/18/2022,MPWR04/18/2022,662183b2f6fcf517c920ca90,419.2718200683594,425.9200134277344,429.4500122070313,407.7200012207031,407.7200012207031,441500.0
MSFT,Microsoft Corp,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/25e313016e9fac0f4b78bbd7e3afded45a8136b17f450c262aea14beed438191.png,https://www.microsoft.com/en-us,AA,Excellent,BBB,High,BB,Medium,715,443,375,1533,A,High,789019,04/27/2022,MSFT04/27/2022,662183b2f6fcf517c920c3ba,283.2200012207031,283.2200012207031,290.9700012207031,279.1600036621094,282.1000061035156,63477700.0
MU,Micron Technology Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/33e8930c-80ec-11ea-a30a-00000000092a.png,https://www.micron.com/,A,High,BB,Medium,BB,Medium,530,330,300,1160,BBB,High,723125,04/18/2022,MU04/18/2022,662183b2f6fcf517c920c2b8,70.14643096923828,71.1500015258789,72.0999984741211,70.05000305175781,70.25,17476700.0
NDAQ,Nasdaq Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/NDAQ_8589934167.png,https://www.nasdaq.com/,A,High,BB,Medium,BB,Medium,505,310,300,1115,BBB,High,1120193,04/18/2022,NDAQ04/18/2022,662183b2f6fcf517c920d171,57.6792221069336,59.4466667175293,59.61333465576172,58.883331298828125,59.176666259765625,1360200.0
NTRS,Northern Trust Corp,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static.finnhub.io/logo/729a6714ac01ab49a6f558cdeaf2d29037d313f87e6acd4af638a8152a23b9fc.png,https://www.northerntrust.com/united-states/,B,Medium,B,Medium,B,Medium,250,226,225,701,B,Medium,73124,04/18/2022,NTRS04/18/2022,662183b2f6fcf517c920dc39,103.0026626586914,110.4000015258789,111.52999877929688,109.66999816894533,110.52999877929688,1022300.0
NVDA,NVIDIA Corp,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/NVDA.png,https://www.nvidia.com/,BB,Medium,BB,Medium,B,Medium,323,301,275,899,BB,Medium,1045810,04/18/2022,NVDA04/18/2022,662183b2f6fcf517c920e120,217.8300018310547,217.8300018310547,220.8800048828125,210.7899932861328,212.0,52570100.0
NWSA,News Corp,USD,NASDAQ NMS - GLOBAL MARKET,Media,https://static.finnhub.io/logo/38632848-80ce-11ea-a34f-00000000092a.png,https://newscorp.com/,A,High,BB,Medium,BB,Medium,509,300,300,1109,BBB,High,1564708,04/18/2022,NWSA04/18/2022,662183b2f6fcf517c920d559,21.18000030517578,21.18000030517578,21.34000015258789,20.959999084472656,21.14999961853028,1769700.0
ODFL,Old Dominion Freight Line Inc,USD,NASDAQ NMS - GLOBAL MARKET,Road and Rail,https://static.finnhub.io/logo/8b7ba59a51614579f97c95184c2a54ab36d44842d9bf5350e077217523059382.png,https://www.odfl.com/,BBB,High,BBB,High,B,Medium,467,423,280,1170,BBB,High,878927,04/18/2022,ODFL04/18/2022,662183b3f6fcf517c920e607,132.69500732421875,132.69500732421875,133.69500732421875,130.64999389648438,131.6750030517578,1881400.0
PCAR,Paccar Inc,USD,NASDAQ NMS - GLOBAL MARKET,Machinery,https://static4.finnhub.io/file/publicdatany2/stock_logo/PCAR_4295907525.jpg,https://www.paccar.com/,A,High,BB,Medium,BB,Medium,568,343,305,1216,A,High,75362,04/18/2022,PCAR04/18/2022,662183b3f6fcf517c920ebe9,51.19948196411133,55.893333435058594,56.25333404541016,55.426666259765625,55.46666717529297,2039850.0
NXPI,NXP Semiconductors NV,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/86154d10-80c9-11ea-9926-00000000092a.png,https://www.nxp.com/,A,High,BB,Medium,BB,Medium,505,329,305,1139,BBB,High,1413447,04/18/2022,NXPI04/18/2022,662183b3f6fcf517c920e316,166.3865203857422,173.25,176.72999572753906,169.14999389648438,169.6999969482422,2138300.0
ORLY,O'Reilly Automotive Inc,USD,NASDAQ NMS - GLOBAL MARKET,Retail,https://static.finnhub.io/logo/e7e4dff0-826a-11ea-8801-00000000092a.png,https://corporate.oreillyauto.com/corporate/,A,High,BB,Medium,BB,Medium,500,300,300,1100,BBB,High,898173,04/18/2022,ORLY04/18/2022,662183b3f6fcf517c920e411,721.6199951171875,721.6199951171875,727.3499755859375,709.9099731445312,710.0,469700.0
PAYX,Paychex Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/acaa8fac-80e0-11ea-9d58-00000000092a.png,https://www.paychex.com/,A,High,BB,Medium,B,Medium,500,300,200,1000,BBB,High,723531,07/26/2022,PAYX07/26/2022,662183b3f6fcf517c920f114,115.29547119140624,121.2300033569336,122.5500030517578,120.75,121.81999969482422,1633600.0
PFG,Principal Financial Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Insurance,https://static.finnhub.io/logo/52a59ab6-80ec-11ea-b750-00000000092a.png,https://www.principal.com/,A,High,BB,Medium,BB,Medium,555,320,300,1175,BBB,High,1126328,04/18/2022,PFG04/18/2022,662183b3f6fcf517c920ff85,68.98334503173828,73.91999816894531,74.4000015258789,73.4800033569336,73.63999938964844,1036100.0
ROST,Ross Stores Inc,USD,NASDAQ NMS - GLOBAL MARKET,Retail,https://static.finnhub.io/logo/d0674d8a-826a-11ea-8077-00000000092a.png,https://www.rossstores.com/,BB,Medium,BB,Medium,BB,Medium,375,325,300,1000,BBB,High,745732,04/19/2022,ROST04/19/2022,662183b3f6fcf517c92119ff,104.79954528808594,107.36000061035156,107.8499984741211,104.33000183105467,104.37999725341795,3030200.0
SBAC,SBA Communications Corp,USD,NASDAQ NMS - GLOBAL MARKET,Real Estate,https://static.finnhub.io/logo/19c8edbbf482503d3a876417a19001cfb20a28894f61df4606c75b8d5657da21.png,https://ir.sbasite.com/overview/default.aspx,B,Medium,B,Medium,B,Medium,250,251,215,716,B,Medium,1034054,04/19/2022,SBAC04/19/2022,662183b3f6fcf517c9211de8,360.9100036621094,360.9100036621094,364.1799926757813,354.6700134277344,356.5199890136719,493400.0
QCOM,Qualcomm Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/28159d10-80e1-11ea-b725-00000000092a.png,https://www.qualcomm.com/,BBB,High,BB,Medium,BB,Medium,409,300,300,1009,BBB,High,804328,04/19/2022,QCOM04/19/2022,662183b3f6fcf517c9210a4f,134.3489227294922,141.0500030517578,141.39999389648438,137.5399932861328,138.8300018310547,7213800.0
POOL,Pool Corp,USD,NASDAQ NMS - GLOBAL MARKET,Distributors,https://static.finnhub.io/logo/ac59de52-80e0-11ea-9ff4-00000000092a.png,https://www.poolcorp.com/,A,High,BB,Medium,BB,Medium,525,306,313,1144,BBB,High,945841,04/18/2022,POOL04/18/2022,662183b3f6fcf517c920fc94,400.9706726074219,410.489990234375,416.55999755859375,404.5499877929688,411.1900024414063,282800.0
PEP,PepsiCo Inc,USD,NASDAQ NMS - GLOBAL MARKET,Beverages,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/PEP_4295904718.png,https://www.pepsico.com/,AA,Excellent,BB,Medium,BB,Medium,719,340,358,1417,A,High,77476,04/18/2022,PEP04/18/2022,662183b3f6fcf517c920f4bc,161.1785888671875,170.4199981689453,172.30999755859375,169.9600067138672,171.22000122070312,3086000.0
SBUX,Starbucks Corp,USD,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,https://static.finnhub.io/logo/8d4c97ac-80e0-11ea-b957-00000000092a.png,https://www.starbucks.com/,BBB,High,BB,Medium,B,Medium,475,385,295,1155,BBB,High,829224,04/19/2022,SBUX04/19/2022,662183b3f6fcf517c9212ba5,81.22000122070312,81.22000122070312,81.54000091552734,79.41000366210938,79.62000274658203,8622100.0
REG,Regency Centers Corp,USD,NASDAQ NMS - GLOBAL MARKET,Real Estate,https://static.finnhub.io/logo/5ecc68e8-80ec-11ea-af0b-00000000092a.png,https://www.regencycenters.com/,A,High,BB,Medium,BB,Medium,575,372,365,1312,A,High,910606,04/19/2022,REG04/19/2022,662183b3f6fcf517c9211031,65.80526733398438,71.62999725341797,71.91000366210938,70.66000366210938,70.66000366210938,817900.0
