_id,ticker,name,currency,exchange,industry,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,total_grade,total_level,cik,Formatted Date,ticker/date,merged_data
662183c596f3d99ad1a24547,LKQ,LKQ Corp,USD,NASDAQ NMS - GLOBAL MARKET,Distributors,https://static.finnhub.io/logo/0846719a1ab7311db60cef58b6985f4e9269ceb9eaf89e63efc354b2188280a1.png,https://www.lkqcorp.com/,A,High,BB,Medium,BB,Medium,515,300,305,1120,BBB,High,1065696,04/18/2022,LKQ04/18/2022,"{'_id': ObjectId('662183b2f6fcf517c920a93d'), 'ticker': 'LKQ', 'Adj Close': 45.82877731323242, 'Close': 47.790000915527344, 'High': 48.18999862670898, 'Low': 46.83000183105469, 'Open': 46.83000183105469, 'Volume': 2153000.0, 'Formatted Date': '04/18/2022', 'ticker/date': 'LKQ04/18/2022'}"
662183c596f3d99ad1a24549,MAR,Marriott International Inc,USD,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,https://static.finnhub.io/logo/1f7dc93a-80ec-11ea-a5dc-00000000092a.png,https://www.marriott.com/,B,Medium,B,Medium,B,Medium,215,200,215,630,B,Medium,1048286,04/18/2022,MAR04/18/2022,"{'_id': ObjectId('662183b2f6fcf517c920b30b'), 'ticker': 'MAR', 'Adj Close': 183.1499938964844, 'Close': 183.1499938964844, 'High': 184.9499969482422, 'Low': 179.22999572753906, 'Open': 179.22999572753906, 'Volume': 2961100.0, 'Formatted Date': '04/18/2022', 'ticker/date': 'MAR04/18/2022'}"
662183c596f3d99ad1a2454a,MCHP,Microchip Technology Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/35e836b8-80e0-11ea-855a-00000000092a.png,https://www.microchip.com/,A,High,BB,Medium,BB,Medium,500,300,300,1100,BBB,High,827054,04/18/2022,MCHP04/18/2022,"{'_id': ObjectId('662183b2f6fcf517c920c1c0'), 'ticker': 'MCHP', 'Adj Close': 67.23999786376953, 'Close': 67.23999786376953, 'High': 68.20999908447266, 'Low': 65.0, 'Open': 65.0, 'Volume': 6758400.0, 'Formatted Date': '04/18/2022', 'ticker/date': 'MCHP04/18/2022'}"
662183c596f3d99ad1a2454b,LRCX,Lam Research Corp,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/b05d9f52-80e0-11ea-8823-00000000092a.png,https://www.lamresearch.com/,A,High,BB,Medium,BB,Medium,510,325,315,1150,BBB,High,707549,04/18/2022,LRCX04/18/2022,"{'_id': ObjectId('662183b2f6fcf517c920a260'), 'ticker': 'LRCX', 'Adj Close': 458.8342590332031, 'Close': 470.5499877929688, 'High': 473.0, 'Low': 451.0, 'Open': 451.2799987792969, 'Volume': 1663100.0, 'Formatted Date': '04/18/2022', 'ticker/date': 'LRCX04/18/2022'}"
662183c596f3d99ad1a2454c,MDLZ,Mondelez International Inc,USD,NASDAQ NMS - GLOBAL MARKET,Food Products,https://static.finnhub.io/logo/10b5dc9a-80ec-11ea-897a-00000000092a.png,https://www.mondelezinternational.com/,A,High,BB,Medium,BB,Medium,520,307,300,1127,BBB,High,1103982,04/18/2022,MDLZ04/18/2022,"{'_id': ObjectId('662183b2f6fcf517c920c998'), 'ticker': 'MDLZ', 'Adj Close': 60.65455627441406, 'Close': 63.56999969482422, 'High': 64.0199966430664, 'Low': 63.25, 'Open': 63.619998931884766, 'Volume': 5777600.0, 'Formatted Date': '04/18/2022', 'ticker/date': 'MDLZ04/18/2022'}"
662183c596f3d99ad1a2454d,META,Meta Platforms Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/FB.png,https://www.facebook.com,B,Medium,B,Medium,B,Medium,205,232,215,652,B,Medium,1326801,04/22/2022,META04/22/2022,"{'_id': ObjectId('662183b2f6fcf517c920bdd7'), 'ticker': 'META', 'Adj Close': 183.9148712158203, 'Close': 184.1100006103516, 'High': 192.72000122070312, 'Low': 183.2700042724609, 'Open': 190.3699951171875, 'Volume': 36426800.0, 'Formatted Date': '04/22/2022', 'ticker/date': 'META04/22/2022'}"
662183c596f3d99ad1a2454e,MKTX,Marketaxess Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static.finnhub.io/logo/4a309d80-80e1-11ea-8514-00000000092a.png,https://www.marketaxess.com/,B,Medium,B,Medium,B,Medium,230,213,210,653,B,Medium,1278021,04/18/2022,MKTX04/18/2022,"{'_id': ObjectId('662183b2f6fcf517c920b20f'), 'ticker': 'MKTX', 'Adj Close': 251.56500244140625, 'Close': 257.1199951171875, 'High': 265.42999267578125, 'Low': 256.260009765625, 'Open': 264.2099914550781, 'Volume': 438100.0, 'Formatted Date': '04/18/2022', 'ticker/date': 'MKTX04/18/2022'}"
662183c596f3d99ad1a2454f,MNST,Monster Beverage Corp,USD,NASDAQ NMS - GLOBAL MARKET,Beverages,https://static.finnhub.io/logo/18126d0c-80e0-11ea-a414-00000000092a.png,http://monsterbevcorp.com/,A,High,BB,Medium,BB,Medium,515,344,300,1159,BBB,High,865752,04/18/2022,MNST04/18/2022,"{'_id': ObjectId('662183b2f6fcf517c920cb8e'), 'ticker': 'MNST', 'Adj Close': 41.220001220703125, 'Close': 41.220001220703125, 'High': 41.415000915527344, 'Low': 40.8650016784668, 'Open': 41.02999877929688, 'Volume': 4421000.0, 'Formatted Date': '04/18/2022', 'ticker/date': 'MNST04/18/2022'}"
662183c596f3d99ad1a24550,MRNA,Moderna Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/a024deee-80da-11ea-9046-00000000092a.png,https://www.modernatx.com/,A,High,BB,Medium,BB,Medium,500,300,300,1100,BBB,High,1682852,04/18/2022,MRNA04/18/2022,"{'_id': ObjectId('662183b2f6fcf517c920c5a9'), 'ticker': 'MRNA', 'Adj Close': 154.75, 'Close': 154.75, 'High': 165.88999938964844, 'Low': 154.27000427246094, 'Open': 165.0, 'Volume': 4826000.0, 'Formatted Date': '04/18/2022', 'ticker/date': 'MRNA04/18/2022'}"
662183c596f3d99ad1a24551,MTCH,Match Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/4295908221.png,https://www.mtch.com/,B,Medium,BB,Medium,BB,Medium,245,389,311,945,BBB,High,891103,04/18/2022,MTCH04/18/2022,"{'_id': ObjectId('662183b2f6fcf517c920b7f2'), 'ticker': 'MTCH', 'Adj Close': 90.47000122070312, 'Close': 90.47000122070312, 'High': 91.6999969482422, 'Low': 89.37000274658203, 'Open': 91.3000030517578, 'Volume': 2023000.0, 'Formatted Date': '04/18/2022', 'ticker/date': 'MTCH04/18/2022'}"
